Car 1,Car 2,Car 3,Car 4
2021-04-21 19:25:50.987242,2021-04-21 19:25:48.567880,2021-04-21 19:25:48.612722,2021-04-21 19:25:48.649660
2021-04-21 19:25:50.988243,2021-04-21 19:25:49.719143,2021-04-21 19:25:49.762032,2021-04-21 19:25:49.852785
2021-04-21 19:25:50.989202,2021-04-21 19:25:50.922381,2021-04-21 19:25:50.960282,2021-04-21 19:25:51.003188
2021-04-21 19:25:52.048445,2021-04-21 19:25:52.078329,2021-04-21 19:25:52.117225,2021-04-21 19:25:52.159671
2021-04-21 19:25:53.198604,2021-04-21 19:25:53.239497,2021-04-21 19:25:53.268416,2021-04-21 19:25:53.312299
2021-04-21 19:25:54.360869,2021-04-21 19:25:54.397771,2021-04-21 19:25:54.439660,2021-04-21 19:25:54.477555
2021-04-21 19:25:55.514383,2021-04-21 19:25:55.557646,2021-04-21 19:25:55.596544,2021-04-21 19:25:55.641078
2021-04-21 19:25:56.689166,2021-04-21 19:25:56.724041,2021-04-21 19:25:56.766925,2021-04-21 19:25:56.801831
2021-04-21 19:25:57.844554,2021-04-21 19:25:57.899409,2021-04-21 19:25:57.930324,2021-04-21 19:25:57.971252
2021-04-21 19:25:59.038461,2021-04-21 19:25:59.075363,2021-04-21 19:25:59.120243,2021-04-21 19:25:59.171144
2021-04-21 19:26:00.207960,2021-04-21 19:26:00.265802,2021-04-21 19:26:00.294729,2021-04-21 19:26:00.345590
2021-04-21 19:26:01.369530,2021-04-21 19:26:01.530611,2021-04-21 19:26:01.545572,2021-04-21 19:26:01.586973
2021-04-21 19:26:02.639560,2021-04-21 19:26:02.671345,2021-04-21 19:26:02.875761,2021-04-21 19:26:02.916652
2021-04-21 19:26:03.960034,2021-04-21 19:26:04.001434,2021-04-21 19:26:04.041328,2021-04-21 19:26:04.093189
2021-04-21 19:26:05.121223,2021-04-21 19:26:05.163144,2021-04-21 19:26:05.203038,2021-04-21 19:26:05.248880
2021-04-21 19:26:06.294518,2021-04-21 19:26:06.336377,2021-04-21 19:26:06.378261,2021-04-21 19:26:06.412206
2021-04-21 19:26:07.455435,2021-04-21 19:26:07.495918,2021-04-21 19:26:07.535816,2021-04-21 19:26:07.572713
2021-04-21 19:26:08.663131,2021-04-21 19:26:08.657151,2021-04-21 19:26:08.692025,2021-04-21 19:26:08.767816
2021-04-21 19:26:09.826320,2021-04-21 19:26:09.859269,2021-04-21 19:26:09.900129,2021-04-21 19:26:09.944005
2021-04-21 19:26:10.983504,2021-04-21 19:26:11.018406,2021-04-21 19:26:11.054310,2021-04-21 19:26:11.097197
2021-04-21 19:26:12.140285,2021-04-21 19:26:12.206109,2021-04-21 19:26:12.243561,2021-04-21 19:26:12.279430
2021-04-21 19:26:13.325213,2021-04-21 19:26:13.359155,2021-04-21 19:26:13.405998,2021-04-21 19:26:13.453869
2021-04-21 19:26:14.486974,2021-04-21 19:26:14.536810,2021-04-21 19:26:14.581722,2021-04-21 19:26:14.614632
2021-04-21 19:26:15.662075,2021-04-21 19:26:15.701006,2021-04-21 19:26:15.734885,2021-04-21 19:26:15.778762
2021-04-21 19:26:16.823525,2021-04-21 19:26:16.861940,2021-04-21 19:26:16.907819,2021-04-21 19:26:16.940727
2021-04-21 19:26:18.174053,2021-04-21 19:26:18.237883,2021-04-21 19:26:18.275816,2021-04-21 19:26:18.318665
2021-04-21 19:26:19.391997,2021-04-21 19:26:19.407981,2021-04-21 19:26:19.447842,2021-04-21 19:26:19.494716
2021-04-21 19:26:20.520839,2021-04-21 19:26:20.571737,2021-04-21 19:26:20.606609,2021-04-21 19:26:20.651491
2021-04-21 19:26:21.687789,2021-04-21 19:26:21.726654,2021-04-21 19:26:21.811424,2021-04-21 19:26:21.815416
2021-04-21 19:26:22.845633,2021-04-21 19:26:22.902446,2021-04-21 19:26:22.937348,2021-04-21 19:26:22.979236
2021-04-21 19:26:24.015748,2021-04-21 19:26:24.062633,2021-04-21 19:26:24.105512,2021-04-21 19:26:24.149429
2021-04-21 19:26:25.189872,2021-04-21 19:26:25.228733,2021-04-21 19:26:25.282624,2021-04-21 19:26:25.310514
2021-04-21 19:26:26.359222,2021-04-21 19:26:26.405101,2021-04-21 19:26:26.433058,2021-04-21 19:26:26.493861
2021-04-21 19:26:27.523252,2021-04-21 19:26:27.556201,2021-04-21 19:26:27.594061,2021-04-21 19:26:27.635989
2021-04-21 19:26:28.689136,2021-04-21 19:26:28.725040,2021-04-21 19:26:28.764335,2021-04-21 19:26:28.809213
