Car 1,Car 2,Car 3,Car 4
2021-04-21 19:27:03.832298,2021-04-21 19:27:04.041735,2021-04-21 19:27:04.082627,2021-04-21 19:27:04.127507
2021-04-21 19:27:05.072414,2021-04-21 19:27:05.123245,2021-04-21 19:27:05.161179,2021-04-21 19:27:05.199076
2021-04-21 19:27:06.143641,2021-04-21 19:27:06.182570,2021-04-21 19:27:06.222385,2021-04-21 19:27:06.264297
2021-04-21 19:27:07.207749,2021-04-21 19:27:07.247675,2021-04-21 19:27:07.288531,2021-04-21 19:27:07.329461
2021-04-21 19:27:08.267405,2021-04-21 19:27:08.306302,2021-04-21 19:27:08.344197,2021-04-21 19:27:08.382125
2021-04-21 19:27:09.326020,2021-04-21 19:27:09.361891,2021-04-21 19:27:09.402781,2021-04-21 19:27:09.444709
2021-04-21 19:27:10.386195,2021-04-21 19:27:10.424095,2021-04-21 19:27:10.463987,2021-04-21 19:27:10.504876
2021-04-21 19:27:11.446946,2021-04-21 19:27:11.491827,2021-04-21 19:27:11.537704,2021-04-21 19:27:11.580588
2021-04-21 19:27:12.546098,2021-04-21 19:27:12.586992,2021-04-21 19:27:12.626884,2021-04-21 19:27:12.664782
2021-04-21 19:27:13.607212,2021-04-21 19:27:13.644145,2021-04-21 19:27:13.683011,2021-04-21 19:27:13.721905
2021-04-21 19:27:14.664908,2021-04-21 19:27:14.704834,2021-04-21 19:27:14.745690,2021-04-21 19:27:14.790570
2021-04-21 19:27:15.730170,2021-04-21 19:27:15.789013,2021-04-21 19:27:15.828958,2021-04-21 19:27:15.870796
2021-04-21 19:27:16.808855,2021-04-21 19:27:16.847754,2021-04-21 19:27:16.893628,2021-04-21 19:27:17.080156
2021-04-21 19:27:18.022194,2021-04-21 19:27:18.066036,2021-04-21 19:27:18.106477,2021-04-21 19:27:18.144374
2021-04-21 19:27:19.084014,2021-04-21 19:27:19.123895,2021-04-21 19:27:19.170770,2021-04-21 19:27:19.210662
2021-04-21 19:27:20.150194,2021-04-21 19:27:20.188120,2021-04-21 19:27:20.228983,2021-04-21 19:27:20.271904
2021-04-21 19:27:21.214866,2021-04-21 19:27:21.252765,2021-04-21 19:27:21.291661,2021-04-21 19:27:21.333549
2021-04-21 19:27:22.273552,2021-04-21 19:27:22.314442,2021-04-21 19:27:22.359326,2021-04-21 19:27:22.400212
2021-04-21 19:27:23.338548,2021-04-21 19:27:23.379438,2021-04-21 19:27:23.424328,2021-04-21 19:27:23.465210
2021-04-21 19:27:24.406727,2021-04-21 19:27:24.446582,2021-04-21 19:27:24.484481,2021-04-21 19:27:24.524169
2021-04-21 19:27:25.463679,2021-04-21 19:27:25.502544,2021-04-21 19:27:25.555400,2021-04-21 19:27:25.596294
2021-04-21 19:27:26.535808,2021-04-21 19:27:26.575702,2021-04-21 19:27:26.622580,2021-04-21 19:27:26.667456
2021-04-21 19:27:27.610470,2021-04-21 19:27:27.651360,2021-04-21 19:27:27.690256,2021-04-21 19:27:27.730150
2021-04-21 19:27:28.669819,2021-04-21 19:27:28.711672,2021-04-21 19:27:28.750566,2021-04-21 19:27:29.102390
2021-04-21 19:27:30.149250,2021-04-21 19:27:30.189181,2021-04-21 19:27:30.226046,2021-04-21 19:27:30.262944
2021-04-21 19:27:31.205450,2021-04-21 19:27:31.403399,2021-04-21 19:27:31.465231,2021-04-21 19:27:31.507119
2021-04-21 19:27:32.454584,2021-04-21 19:27:32.496475,2021-04-21 19:27:32.536401,2021-04-21 19:27:32.575262
2021-04-21 19:27:33.515036,2021-04-21 19:27:33.555941,2021-04-21 19:27:33.597814,2021-04-21 19:27:33.636745
