Car 1,Car 2
2021-04-21 03:12:40.102122,2021-04-21 03:12:40.613266
2021-04-21 03:12:41.653657,2021-04-21 03:12:41.692555
2021-04-21 03:12:42.729870,2021-04-21 03:12:42.764777
2021-04-21 03:12:43.804034,2021-04-21 03:12:43.840901
2021-04-21 03:12:44.878318,2021-04-21 03:12:44.916252
2021-04-21 03:12:45.955066,2021-04-21 03:12:46.064740
2021-04-21 03:12:47.100997,2021-04-21 03:12:47.135901
2021-04-21 03:12:48.171192,2021-04-21 03:12:48.218073
2021-04-21 03:12:49.254330,2021-04-21 03:12:49.391962
2021-04-21 03:12:50.432689,2021-04-21 03:12:50.469589
